Timestamp,id,type,X,Y
2014-6-06 23:00:02,1048262,movement,26,57
2014-6-06 23:00:03,984199,movement,26,57
2014-6-06 23:00:03,997940,movement,26,56
2014-6-06 23:00:05,1467932,movement,48,82
2014-6-06 23:00:05,813316,movement,69,64
2014-6-06 23:00:05,490718,movement,48,82
2014-6-06 23:00:05,1477437,movement,69,64
2014-6-06 23:00:05,425099,movement,69,64
2014-6-06 23:00:05,1280868,movement,48,82
2014-6-06 23:00:06,267010,movement,89,47
2014-6-06 23:00:06,903264,movement,59,32
2014-6-06 23:00:06,1763638,movement,48,82
2014-6-06 23:00:06,1607208,movement,48,82
2014-6-06 23:00:06,847619,movement,59,32
2014-6-06 23:00:07,1703818,movement,59,32
2014-6-06 23:00:07,1533712,movement,87,47
2014-6-06 23:00:07,263011,movement,86,47
2014-6-06 23:00:07,483295,movement,87,47
2014-6-06 23:00:07,1540524,movement,59,31
2014-6-06 23:00:09,1048262,movement,25,56
2014-6-06 23:00:10,984199,movement,25,56
2014-6-06 23:00:10,997940,movement,25,55
2014-6-06 23:00:13,813316,movement,70,63
2014-6-06 23:00:13,1280868,movement,49,83
2014-6-06 23:00:13,490718,movement,49,83
2014-6-06 23:00:13,425099,movement,70,63
2014-6-06 23:00:13,1477437,movement,68,63
2014-6-06 23:00:13,1467932,movement,49,83
2014-6-06 23:00:14,267010,movement,89,48
2014-6-06 23:00:14,903264,movement,58,32
2014-6-06 23:00:14,847619,movement,58,32
2014-6-06 23:00:14,1607208,movement,49,83
2014-6-06 23:00:14,1763638,movement,49,83
2014-6-06 23:00:15,1533712,movement,87,48
2014-6-06 23:00:15,483295,movement,88,48
2014-6-06 23:00:15,263011,movement,87,48
2014-6-06 23:00:15,1703818,movement,58,31
2014-6-06 23:00:15,1540524,movement,58,31
2014-6-06 23:00:16,1048262,movement,24,55
2014-6-06 23:00:16,1217836,movement,91,80
2014-6-06 23:00:16,1228908,movement,91,80
2014-6-06 23:00:17,467470,movement,91,80
2014-6-06 23:00:17,997940,movement,24,54
2014-6-06 23:00:17,198823,movement,91,80
2014-6-06 23:00:17,984199,movement,24,55
2014-6-06 23:00:21,1280868,movement,50,83
2014-6-06 23:00:21,1467932,movement,50,84
2014-6-06 23:00:21,813316,movement,70,62
2014-6-06 23:00:21,1477437,movement,69,62
2014-6-06 23:00:21,425099,movement,71,62
2014-6-06 23:00:21,490718,movement,50,83
2014-6-06 23:00:22,903264,movement,57,32
2014-6-06 23:00:22,1217836,movement,90,79
2014-6-06 23:00:22,267010,movement,88,49
2014-6-06 23:00:22,1763638,movement,50,83
